course_name,level,cutoff_atar,award_type,provider,duration,field_of_education,campus
Master of Business (Honours),Postgraduate,,Master's by coursework,Monash University,2.5 years,Management & Commerce n.e.c.,CAULFIELD VIC
MASTER OF BUSINESS (HOSPITALITY AND EVENT MANAGEMENT),Postgraduate,,Master's by coursework,Victoria University,1.5 years,Hospitality Management,City Flinders VIC
MASTER OF BUSINESS (HOSPITALITY AND TOURISM MANAGEMENT),Postgraduate,,Master's by coursework,Victoria University,1.5 years,Business Management,City Flinders VIC
MASTER OF BUSINESS (HOSPITALITY AND TOURISM MARKETING),Postgraduate,,Master's by coursework,Victoria University,1.5 years,Marketing,City Flinders VIC
MASTER OF BUSINESS (HOSPITALITY MANAGEMENT),Postgraduate,,Master's by coursework,Victoria University,1.5 years,Hospitality Management,City Flinders VIC
MASTER OF BUSINESS (HOSPITALITY MANAGEMENT) (PROFESSIONAL PRACTICE),Postgraduate,,Master's by coursework,Victoria University,1.5 years,Hospitality Management,City Flinders VIC
MASTER OF BUSINESS (INDUSTRIAL RELATIONS/HUMAN RESOURCE MANAGEMENT),Postgraduate,,Master's by coursework,Victoria University,1.5 years,Industrial Relations,City Flinders VIC
MASTER OF BUSINESS (INFO SYSTEMS & ENTERPRISE RESOURCE PLANNING SYSTEMS),Postgraduate,,Master's by coursework,Victoria University,2 years,Information Systems,City Flinders VIC
MASTER OF BUSINESS (INFO SYSTEMS & ENTERPRISE RESOURCE PLANNING SYSTEMS),Postgraduate,,Master's by coursework,Victoria University,2 years,Information Systems,VU SYDNEY NSW
MASTER OF BUSINESS (INFO SYSTEMS & ENTERPRISE RESOURCE PLANNING SYSTEMS),Postgraduate,,Master's by coursework,Victoria University,2 years,Information Systems,SYDNEY-ECA NSW
Master of Business (Information Systems),Postgraduate,,Master's by coursework,La Trobe University,1.8 years,Business & Management,BENDIGO VIC
MASTER OF BUSINESS (INFORMATION SYSTEMS),Postgraduate,,Master's by coursework,Victoria University,1.5 years,Information Systems,City Flinders VIC
MASTER OF BUSINESS (INFORMATION SYSTEMS),Postgraduate,,Master's by coursework,Victoria University,1.5 years,Information Systems,SYDNEY-ECA NSW
MASTER OF BUSINESS (INTERNATIONAL TRADE),Postgraduate,,Master's by coursework,Victoria University,1.5 years,International Business,City Flinders VIC
MASTER OF BUSINESS (MANAGEMENT),Postgraduate,,Master's by coursework,Victoria University,1.5 years,Business Management,City Flinders VIC
Master of Business (Marketing),Postgraduate,,Master's by coursework,University of Western Sydney,1 year,Marketing,PARRAMATTA CAMPUS NSW
MASTER OF BUSINESS (MARKETING),Postgraduate,,Master's by coursework,Victoria University,1.5 years,Marketing,City Flinders VIC
Master of Business (Operations Management),Postgraduate,,Master's by coursework,University of Western Sydney,1 year,Business & Management,PARRAMATTA CAMPUS NSW
Master of Business (Professional Accounting and Finance),Postgraduate,,Master's by coursework,University of South Australia,2 years,Accounting (Narrow),Adelaide SA
Master of Business (Professional Accounting and Specialisation),Postgraduate,,Master's by coursework,University of South Australia,2 years,Accounting (Narrow),Adelaide SA
MASTER OF BUSINESS (PROFESSIONAL ACCOUNTING),Postgraduate,,Master's by coursework,Victoria University,1.5 years,Accounting (Detailed),City Flinders VIC
Master of Business (Professional),Postgraduate,,Master's by coursework,Bond University,2.8 years,Business & Management,Bond University QLD
Master of Business (Property),Postgraduate,,Master's by coursework,RMIT University,2 years,Real Estate,City Campus VIC
Master of Business (Property),Postgraduate,,Master's by coursework,University of South Australia,1.5 years,Real Estate,Adelaide SA
Master of Business (Science and Technology),Postgraduate,,Master's by coursework,Monash University,1.5 years,Business Management,CAULFIELD VIC
Master of Business (Specialisation) (C7P),Postgraduate,,Master's by coursework,University of Tasmania,2 years,Business Management,Hobart TAS
MASTER OF BUSINESS (SPORT MANAGEMENT),Postgraduate,,Master's by coursework,Deakin University,1.5 years,Business & Management n.e.c.,BURWOOD VIC
MASTER OF BUSINESS (SPORT MANAGEMENT),Postgraduate,,Master's by coursework,Deakin University,1.5 years,Business & Management n.e.c.,DISTANCE EDUCATION
MASTER OF BUSINESS (SUPPLY CHAIN MANAGEMENT),Postgraduate,,Master's by coursework,Victoria University,1.5 years,Business & Management n.e.c.,City Flinders VIC
MASTER OF BUSINESS (TOURISM AND EVENT MANAGEMENT),Postgraduate,,Master's by coursework,Victoria University,1.5 years,Tourism Management,City Flinders VIC
MASTER OF BUSINESS (TOURISM MANAGEMENT),Postgraduate,,Master's by coursework,Victoria University,1.5 years,Tourism Management,City Flinders VIC
Master of Business / Master of Business,Postgraduate,,Master's by coursework,Queensland University of Technology,2 years,"Management & Commerce n.e.c., Business Management",BRISBANE QLD
Master of Business / Master of Business Administration,Postgraduate,,Master's by coursework,Queensland University of Technology,2 years,"Management & Commerce n.e.c., Business Management",BRISBANE QLD
Master of Business Administration,Postgraduate,,Master's by coursework,Australian Catholic University,1.5 years,Business Management,MELBOURNE VIC
Master of Business Administration,Postgraduate,,Master's by coursework,Australian Catholic University,1.5 years,Business Management,NORTH SYDNEY NSW
Master of Business Administration,Postgraduate,,Master's by coursework,Bond University,1.5 years,Business & Management,Bond University QLD
MASTER OF BUSINESS ADMINISTRATION,Postgraduate,,Master's by coursework,Charles Darwin University,1.5 years,Business Management,CASUARINA NT
MASTER OF BUSINESS ADMINISTRATION,Postgraduate,,Master's by coursework,Charles Darwin University,1.5 years,Business Management,DISTANCE EDUCATION
Master of Business Administration,Postgraduate,,Master's by coursework,Charles Sturt University,2 years,Business Management,Melbourne VIC
Master of Business Administration,Postgraduate,,Master's by coursework,Charles Sturt University,2 years,Business Management,Darlinghurst NSW
Master of Business Administration,Postgraduate,,Master's by coursework,Charles Sturt University,2 years,Business Management,Distance Education
Master of Business Administration,Postgraduate,,Master's by coursework,Curtin University of Technology,1.5 years,Business & Management,Perth City Campus WA
MASTER OF BUSINESS ADMINISTRATION,Postgraduate,,Master's by coursework,Deakin University,1.5 years,Business & Management,BURWOOD VIC
MASTER OF BUSINESS ADMINISTRATION,Postgraduate,,Master's by coursework,Deakin University,1.5 years,Business & Management,DISTANCE EDUCATION
Master of Business Administration,Postgraduate,,Master's by coursework,Edith Cowan University,1.5 years,Business & Management,MT LAWLEY WA
Master of Business Administration,Postgraduate,,Master's by coursework,Edith Cowan University,1.5 years,Business & Management,BUNBURY WA
Master of Business Administration,Postgraduate,,Master's by coursework,Edith Cowan University,1.5 years,Business & Management,DISTANCE EDUCATION
Master of Business Administration,Postgraduate,,Master's by coursework,Edith Cowan University,1.5 years,Business & Management,MT LAWLEY WA
Master of Business Administration,Postgraduate,,Master's by coursework,Edith Cowan University,1.5 years,Business & Management,BUNBURY WA
Master of Business Administration,Postgraduate,,Master's by coursework,Edith Cowan University,1.5 years,Business & Management,DISTANCE EDUCATION
Master of Business Administration,Postgraduate,,Master's by coursework,Flinders University,1.5 years,Business & Management,Adelaide at City Centre SA
Master of Business Administration,Postgraduate,,Master's by coursework,Griffith University,1.5 years,Business Management,South Bank QLD
Master of Business Administration,Postgraduate,,Master's by coursework,Griffith University,1.5 years,Business Management,Distance Education
Master of Business Administration,Postgraduate,,Master's by coursework,Griffith University,1.5 years,Business Management,Gold Coast QLD
Master of Business Administration,Postgraduate,,Master's by coursework,James Cook University,2 years,Business Management,Townsville QLD
Master of Business Administration,Postgraduate,,Master's by coursework,James Cook University,2 years,Business Management,Cairns QLD
Bachelor of International and Global Studies,Undergraduate,95.05,Bachelor's Pass,The University of Sydney,3 years,Political Science & Policy Studies,Camperdown NSW
Bachelor of International and Global Studies (Honours),Undergraduate,N/A,Bachelor's Honours,The University of Sydney,1 year,Political Science & Policy Studies,Camperdown NSW
Bachelor of International and Global Studies and Bachelor of Laws,Undergraduate,99.70,Bachelor's Pass,The University of Sydney,5 years,"Political Science & Policy Studies, Law",Camperdown NSW
Bachelor of International and Language Studies,Undergraduate,N/A,Bachelor's Pass,University of New England,4 years,Society & Culture n.e.c.,Armidale NSW
Bachelor of International and Language Studies,Undergraduate,N/A,Bachelor's Pass,University of New England,4 years,Society & Culture n.e.c.,Distance Education
Bachelor of International Business,Undergraduate,65.80,Bachelor's Pass,Griffith University,3 years,International Business,Gold Coast QLD
Bachelor of International Business,Undergraduate,63.00,Bachelor's Pass,Griffith University,3 years,International Business,Nathan QLD
Bachelor of International Business,Undergraduate,N/A,Bachelor's Pass,La Trobe University,3 years,International Business,SYDNEY NSW
Bachelor of International Business,Undergraduate,62.85,Bachelor's Pass,La Trobe University,3 years,International Business,BUNDOORA VIC
Bachelor of International Business,Undergraduate,68.00,Bachelor's Pass,University of Canberra,3 years,International Business,Bruce ACT
Bachelor of International Development,Undergraduate,60.55,Bachelor's Pass,La Trobe University,3 years,Studies in Human Society n.e.c.,BUNDOORA VIC
Bachelor of International Development Studies,Undergraduate,59.80,Bachelor's Pass,Australian Catholic University,3 years,Studies in Human Society n.e.c.,MELBOURNE VIC
Bachelor of International Development Studies,Undergraduate,59.60,Bachelor's Pass,Australian Catholic University,3 years,Studies in Human Society n.e.c.,STRATHFIELD NSW
Bachelor of International Development with Honours,Undergraduate,N/A,Bachelor's Honours,La Trobe University,1 year,Studies in Human Society n.e.c.,BUNDOORA VIC
Bachelor of International Hotel & Tourism Management,Undergraduate,N/A,Bachelor's Pass,Bond University,3 years,Tourism Management,Bond University QLD
Bachelor of International Hotel and Resort Management,Undergraduate,55.90,Bachelor's Pass,Edith Cowan University,3 years,Hospitality Management,JOONDALUP WA
Bachelor of International Logistics (Specialisation) (23G),Undergraduate,65.00,Bachelor's Pass,University of Tasmania,3 years,Business & Management,Launceston TAS
Bachelor of International Relations,Undergraduate,N/A,Bachelor's Pass,Bond University,3 years,Political Science & Policy Studies,Bond University QLD
Bachelor of International Relations,Undergraduate,80.65,Bachelor's Pass,La Trobe University,3 years,Studies in Human Society n.e.c.,BUNDOORA VIC
Bachelor of International Relations,Undergraduate,56.30,Bachelor's Pass,University of South Australia,3 years,Business & Commercial Law,Magill SA
Bachelor of International Relations with Honours,Undergraduate,N/A,Bachelor's Honours,La Trobe University,1 year,Studies in Human Society,BUNDOORA VIC
Bachelor of International Relations/Bachelor of Business,Undergraduate,N/A,Bachelor's Pass,Bond University,4.5 years,"Political Science & Policy Studies, Other Management & Commerce",Bond University QLD
Bachelor of International Relations/Bachelor of Laws,Undergraduate,N/A,Bachelor's Pass,Bond University,5 years,"Political Science & Policy Studies, Law",Bond University QLD
BACHELOR OF INTERNATIONAL STUDIES,Undergraduate,N/A,Bachelor's Pass,Deakin University,3 years,Political Science & Policy Studies,GEELONG VIC
BACHELOR OF INTERNATIONAL STUDIES,Undergraduate,N/A,Bachelor's Pass,Deakin University,3 years,Political Science & Policy Studies,BURWOOD VIC
BACHELOR OF INTERNATIONAL STUDIES,Undergraduate,N/A,Bachelor's Pass,Deakin University,3 years,Political Science & Policy Studies,DISTANCE EDUCATION
BACHELOR OF INTERNATIONAL STUDIES,Undergraduate,63.45,Bachelor's Pass,Deakin University,3 years,Political Science & Policy Studies,GEELONG VIC
BACHELOR OF INTERNATIONAL STUDIES,Undergraduate,59.50,Bachelor's Pass,Deakin University,3 years,Political Science & Policy Studies,BURWOOD VIC
BACHELOR OF INTERNATIONAL STUDIES,Undergraduate,N/A,Bachelor's Pass,Deakin University,3 years,Political Science & Policy Studies,DISTANCE EDUCATION
Bachelor of International Studies,Undergraduate,61.35,Bachelor's Pass,Flinders University,3 years,Political Science & Policy Studies,Adelaide at Bedford Park SA
Bachelor of International Studies,Undergraduate,80.45,Bachelor's Pass,Macquarie University,3 years,International Business,Macquarie University NSW
Bachelor of International Studies,Undergraduate,72.55,Bachelor's Pass,University of New England,3 years,Society & Culture n.e.c.,Armidale NSW
Bachelor of International Studies,Undergraduate,72.55,Bachelor's Pass,University of New England,3 years,Society & Culture n.e.c.,Distance Education
Bachelor of International Studies,Undergraduate,93.20,Bachelor's Pass,University of New South Wales,4 years,Society & Culture n.e.c.,Sydney NSW
Bachelor of International Studies,Undergraduate,55.95,Bachelor's Pass,University of the Sunshine Coast,3 years,Political Science,Sippy Downs QLD
Bachelor of International Studies,Undergraduate,70.25,Bachelor's Pass,University of Western Sydney,3 years,Society & Culture n.e.c.,BANKSTOWN CAMPUS NSW
Bachelor of International Studies,Undergraduate,70.25,Bachelor's Pass,University of Western Sydney,3 years,Society & Culture n.e.c.,PARRAMATTA CAMPUS NSW
Bachelor of International Studies,Undergraduate,75.00,Bachelor's Pass,University of Wollongong,3 years,Studies in Human Society,Wollongong NSW
Bachelor of International Studies,Undergraduate,75.00,Bachelor's Pass,University of Wollongong,3 years,Studies in Human Society,Wollongong NSW
Bachelor of International Studies,Undergraduate,75.00,Bachelor's Pass,University of Wollongong,3 years,Studies in Human Society,Wollongong NSW
Bachelor of International Studies,Undergraduate,75.00,Bachelor's Pass,University of Wollongong,3 years,Studies in Human Society,Wollongong NSW
BACHELOR OF INTERNATIONAL STUDIES,Undergraduate,47.55,Bachelor's Pass,Victoria University,3 years,Studies in Human Society n.e.c.,Footscray Park VIC
Bachelor of International Studies - Bachelor of Commerce,Undergraduate,75.00,Bachelor's Pass,University of Wollongong,4.5 years,"Society & Culture, Management & Commerce",Wollongong NSW
Bachelor of International Studies - Bachelor of Commerce,Undergraduate,75.00,Bachelor's Pass,University of Wollongong,4.5 years,"Society & Culture, Management & Commerce",Wollongong NSW
Bachelor of International Studies - Bachelor of Laws,Undergraduate,90.00,Bachelor's Pass,University of Wollongong,5 years,"Studies in Human Society n.e.c., Law",Wollongong NSW
Bachelor of International Studies - Bachelor of Laws,Undergraduate,90.00,Bachelor's Pass,University of Wollongong,5 years,"Studies in Human Society n.e.c., Law",Wollongong NSW
Bachelor of International Studies (Dean's Scholar),Undergraduate,N/A,Bachelor's Pass,University of Wollongong,3 years,Society & Culture,Wollongong NSW
Bachelor of International Studies (Honours),Undergraduate,N/A,Bachelor's Honours,Flinders University,1 year,Political Science & Policy Studies,Adelaide at Bedford Park SA
Bachelor of International Studies / Law,Undergraduate,99.65,Bachelor's Pass,University of New South Wales,6 years,"Human Geography, Law",Sydney NSW
Bachelor of International Studies Honours,Undergraduate,N/A,Bachelor's Honours,University of Wollongong,1 year,Society & Culture,Wollongong NSW
Bachelor of International Studies with Bachelor of Laws,Undergraduate,95.90,Bachelor's Pass,Macquarie University,5 years,"International Business, Law",Macquarie University NSW
Bachelor of International Studies with Honours,Undergraduate,N/A,Bachelor's Honours,University of New England,1 year,Society & Culture n.e.c.,Armidale NSW
Bachelor of International Studies with Honours,Undergraduate,N/A,Bachelor's Honours,University of New England,1 year,Society & Culture n.e.c.,Distance Education
BACHELOR OF INTERNATIONAL STUDIES/BACHELOR OF BUSINESS,Undergraduate,50.60,Bachelor's Pass,Victoria University,4 years,"Studies in Human Society n.e.c., Business Management",Footscray Park VIC
Bachelor of International Studies/Bachelor of Business and Commerce,Undergraduate,73.60,Bachelor's Pass,University of Western Sydney,4 years,"Society & Culture n.e.c., Business & Management",PARRAMATTA CAMPUS NSW
BACHELOR OF INTERNATIONAL STUDIES/BACHELOR OF COMMERCE,Undergraduate,N/A,Bachelor's Pass,Deakin University,4 years,"Political Science & Policy Studies, Management & Commerce",GEELONG VIC
BACHELOR OF INTERNATIONAL STUDIES/BACHELOR OF COMMERCE,Undergraduate,65.90,Bachelor's Pass,Deakin University,4 years,"Political Science & Policy Studies, Management & Commerce",BURWOOD VIC
BACHELOR OF INTERNATIONAL STUDIES/BACHELOR OF COMMERCE,Undergraduate,N/A,Bachelor's Pass,Deakin University,4 years,"Political Science & Policy Studies, Management & Commerce",DISTANCE EDUCATION
Bachelor of International Studies/Bachelor of Laws,Undergraduate,90.65,Bachelor's Pass,University of Western Sydney,5 years,"Law, Society & Culture n.e.c.",PARRAMATTA CAMPUS NSW
Bachelor of International Studies-Bachelor of Economics and Finance,Undergraduate,80.00,Bachelor's Pass,University of Wollongong,4.5 years,"Studies in Human Society, Banking, Finance & Related Fields n.e.c.",Wollongong NSW
Bachelor of International Tourism,Undergraduate,70.00,Bachelor's Pass,Flinders University,3 years,Tourism (Detailed),Adelaide at Bedford Park SA
Bachelor of International Tourism (Honours),Undergraduate,N/A,Bachelor's Honours,Flinders University,1 year,Tourism (Detailed),Adelaide at Bedford Park SA
Bachelor of Internet Science and Technology - Dubai,Undergraduate,N/A,Bachelor's Pass,University of Wollongong,4 years,Information Systems,Dubai United Arab Emirates
Bachelor of Islamic Studies,Undergraduate,N/A,Bachelor's Pass,Charles Sturt University,3 years,Religious Studies,Distance Education
Bachelor of Journalism,Undergraduate,N/A,Bachelor's Pass,Bond University,3 years,Journalism,Bond University QLD
Bachelor of Journalism,Undergraduate,68.45,Bachelor's Pass,Griffith University,3 years,Journalism,Nathan QLD
Bachelor of Journalism,Undergraduate,68.45,Bachelor's Pass,Griffith University,3 years,Journalism,Gold Coast QLD
Bachelor of Journalism,Undergraduate,75.00,Bachelor's Pass,La Trobe University,3 years,Journalism,BUNDOORA VIC
Bachelor of Journalism,Undergraduate,84.50,Bachelor's Pass,Monash University,3 years,Journalism,CAULFIELD VIC
Bachelor of Journalism,Undergraduate,N/A,Bachelor's Pass,Monash University,3 years,Journalism,Distance Education
Bachelor of Journalism,Undergraduate,N/A,Bachelor's Pass,Queensland University of Technology,3 years,Journalism,KELVIN GROVE QLD
Bachelor of Journalism,Undergraduate,81.15,Bachelor's Pass,University of South Australia,3 years,Journalism,Magill SA
Bachelor of Journalism,Undergraduate,55.95,Bachelor's Pass,University of the Sunshine Coast,3 years,Journalism,Sippy Downs QLD
Bachelor of Journalism,Undergraduate,75.00,Bachelor's Pass,University of Wollongong,3 years,Journalism,Wollongong NSW
Bachelor of Journalism - Bachelor of Arts (Faculty of Arts),Undergraduate,75.00,Bachelor's Pass,University of Wollongong,4.5 years,"Journalism, Society & Culture",Wollongong NSW
Bachelor of Journalism - Bachelor of Arts (Health & Behavioural),Undergraduate,N/A,Bachelor's Pass,University of Wollongong,4.5 years,"Journalism, Health",Wollongong NSW
Bachelor of Journalism - Bachelor of Commerce,Undergraduate,75.00,Bachelor's Pass,University of Wollongong,4.5 years,"Journalism, Management & Commerce",Wollongong NSW
Bachelor of Journalism - Bachelor of Communication and Media Studies,Undergraduate,75.00,Bachelor's Pass,University of Wollongong,4.5 years,"Journalism, Communication Studies",Wollongong NSW
Bachelor of Journalism - Bachelor of Engineering,Undergraduate,80.00,Bachelor's Pass,University of Wollongong,5.5 years,"Journalism, Engineering & Related Technologies",Wollongong NSW
Bachelor of Journalism - Bachelor of International Studies,Undergraduate,75.00,Bachelor's Pass,University of Wollongong,4 years,"Journalism, Studies in Human Society n.e.c.",Wollongong NSW
Bachelor of Journalism - Bachelor of Laws,Undergraduate,90.00,Bachelor's Pass,University of Wollongong,5 years,"Journalism, Law",Wollongong NSW
Bachelor of Journalism - Bachelor of Science,Undergraduate,75.00,Bachelor's Pass,University of Wollongong,4.5 years,"Journalism, Natural & Physical Sciences",Wollongong NSW
Bachelor of Journalism - Bachelor of Science (Health & Behavioural),Undergraduate,N/A,Bachelor's Pass,University of Wollongong,4.5 years,"Journalism, Health",Wollongong NSW
Bachelor of Journalism (Honours),Undergraduate,N/A,Bachelor's Honours,Queensland University of Technology,1 year,Journalism,KELVIN GROVE QLD
Bachelor of Journalism (Sport),Undergraduate,81.05,Bachelor's Pass,La Trobe University,3 years,Journalism,BUNDOORA VIC
Bachelor of Journalism / Bachelor of Laws,Undergraduate,N/A,Bachelor's Pass,Queensland University of Technology,5.5 years,"Journalism, Law",KELVIN GROVE QLD
Bachelor of Journalism and Bachelor of Business,Undergraduate,84.70,Bachelor's Pass,Monash University,4.5 years,"Journalism, Business & Management n.e.c.",CAULFIELD VIC
Bachelor of Journalism and Bachelor of Commerce,Undergraduate,N/A,Bachelor's Pass,Monash University,4 years,"Business & Management n.e.c., Journalism",CLAYTON VIC
Bachelor of Journalism and Bachelor of Science,Undergraduate,86.10,Bachelor's Pass,Monash University,4 years,"Natural & Physical Sciences n.e.c., Journalism",CLAYTON VIC
Bachelor of Journalism with Honours,Undergraduate,N/A,Bachelor's Honours,La Trobe University,1 year,Journalism,BUNDOORA VIC
"Bachelor of Journalism, Bachelor of International Relations (IR)",Undergraduate,81.95,Bachelor's Pass,University of South Australia,4 years,"Political Science, Business & Commercial Law",Magill SA
"Bachelor of Journalism, Bachelor of International Relations (Journalism)",Undergraduate,81.95,Bachelor's Pass,University of South Australia,4 years,"Journalism, Business & Commercial Law",Magill SA
Bachelor of Journalism/Laws,Undergraduate,N/A,Bachelor's Pass,Bond University,5.5 years,"Journalism, Law",Bond University QLD
Bachelor of Jurisprudence,Undergraduate,N/A,Bachelor's Pass,Bond University,3 years,Law,Bond University QLD
Bachelor of Justice,Undergraduate,N/A,Bachelor's Pass,Queensland University of Technology,3 years,Justice & Law Enforcement n.e.c.,BRISBANE QLD
Bachelor of Justice,Undergraduate,N/A,Bachelor's Pass,Queensland University of Technology,3 years,Justice & Law Enforcement n.e.c.,DISTANCE EDUCATION
Bachelor of Justice (Honours),Undergraduate,N/A,Bachelor's Honours,Queensland University of Technology,1 year,Justice & Law Enforcement n.e.c.,BRISBANE QLD
Bachelor of Justice / Bachelor of Laws,Undergraduate,N/A,Bachelor's Pass,Queensland University of Technology,5.5 years,"Law, Justice & Law Enforcement n.e.c.",BRISBANE QLD
Bachelor of Justice and Legal Studies,Undergraduate,55.95,Bachelor's Pass,University of the Sunshine Coast,3 years,Justice & Law Enforcement n.e.c.,Sippy Downs QLD
Bachelor of Justice and Legal Studies,Undergraduate,55.95,Bachelor's Pass,University of the Sunshine Coast,3 years,Justice & Law Enforcement n.e.c.,South Bank QLD
Master of Business Administration,Postgraduate,,Master's by coursework,James Cook University,1.5 years,Business Management,Townsville QLD
Master of Business Administration,Postgraduate,,Master's by coursework,James Cook University,1.5 years,Business Management,Cairns QLD
Master of Business Administration,Postgraduate,,Master's by coursework,La Trobe University,1.5 years,Business Management,City Campus VIC
Master of Business Administration,Postgraduate,,Master's by coursework,Macquarie University,1 year,Business Management,Macquarie University NSW
Master of Business Administration,Postgraduate,,Master's by coursework,Macquarie University,1 year,Business Management,Hong Kong Hong Kong (SAR of China)
Master of Business Administration,Postgraduate,,Master's by coursework,Monash University,2 years,Business & Management n.e.c.,CAULFIELD VIC
MASTER OF BUSINESS ADMINISTRATION,Postgraduate,,Master's by coursework,Murdoch University,2 years,Business & Management,MURDOCH WA
MASTER OF BUSINESS ADMINISTRATION,Postgraduate,,Master's by coursework,Murdoch University,2 years,Business & Management,Distance Education
Master of Business Administration,Postgraduate,,Master's by coursework,Queensland University of Technology,1.5 years,Business Management,BRISBANE QLD
Master of Business Administration,Postgraduate,,Master's by coursework,Southern Cross University,2 years,Business Management,Gold Coast QLD
Master of Business Administration,Postgraduate,,Master's by coursework,Southern Cross University,2 years,Business Management,New Zealand New Zealand
Master of Business Administration,Postgraduate,,Master's by coursework,Southern Cross University,2 years,Business Management,Distance Education
MASTER OF BUSINESS ADMINISTRATION,Postgraduate,,Master's by coursework,Swinburne University of Technology,1 year,Business Management,Hawthorn VIC
Master of Business Administration,Postgraduate,,Master's by coursework,The University of Notre Dame Australia,2 years,Business & Management,"MOUAT STREET, FREMANTLE WA"
Master of Business Administration,Postgraduate,,Master's by coursework,The University of Notre Dame Australia,2 years,Business & Management,"104 BROADWAY, BROADWAY NSW"
Master of Business Administration,Postgraduate,,Master's by coursework,The University of Sydney,1.5 years,Business & Management,Camperdown NSW
Master of Business Administration,Postgraduate,,Master's by coursework,University of Canberra,1.5 years,Business & Management n.e.c.,Bruce ACT
Master of Business Administration,Postgraduate,,Master's by coursework,University of New England,1.5 years,Business & Management,Distance Education
Master of Business Administration,Postgraduate,,Master's by coursework,University of New South Wales,1.5 years,Business Management,Sydney NSW
Master of Business Administration,Postgraduate,,Master's by coursework,University of Newcastle,1.5 years,Business Management,NEWCASTLE NSW
Master of Business Administration,Postgraduate,,Master's by coursework,University of Newcastle,1.5 years,Business Management,Sydney NSW
Master of Business Administration,Postgraduate,,Master's by coursework,University of Newcastle,1.5 years,Business Management,Distance Education
Master of Business Administration,Postgraduate,,Master's by coursework,University of South Australia,1.5 years,Business & Management,Adelaide SA
Master of Business Administration,Postgraduate,,Master's by coursework,University of Southern Queensland,1.5 years,Business & Management,TOOWOOMBA QLD
Master of Business Administration,Postgraduate,,Master's by coursework,University of Southern Queensland,1.5 years,Business & Management,SPRINGFIELD QLD
Master of Business Administration,Postgraduate,,Master's by coursework,University of Southern Queensland,1.5 years,Business & Management,DISTANCE EDUCATION
Master of Business Administration,Postgraduate,,Master's by coursework,"University of Technology, Sydney",2 years,Business & Management,Broadway NSW
Master of Business Administration,Postgraduate,,Master's by coursework,University of the Sunshine Coast,1.5 years,Business & Management n.e.c.,Sippy Downs QLD
Master of Business Administration,Postgraduate,,Master's by coursework,University of the Sunshine Coast,1.5 years,Business & Management n.e.c.,Distance Education
Master of Business Administration,Postgraduate,,Master's by coursework,University of Wollongong,1.5 years,Business Management,Adelaide SA
Master of Business Administration,Postgraduate,,Master's by coursework,University of Wollongong,1.5 years,Business Management,Innovation Campus NSW
Master of Business Administration,Postgraduate,,Master's by coursework,University of Wollongong,1.5 years,Business Management,Wollongong NSW
Master of Business Administration,Postgraduate,,Master's by coursework,University of Wollongong,1.5 years,Business Management,Sydney NSW
MASTER OF BUSINESS ADMINISTRATION,Postgraduate,,Master's by coursework,Victoria University,1.5 years,Business Management,City Flinders VIC
MASTER OF BUSINESS ADMINISTRATION,Postgraduate,,Master's by coursework,Victoria University,1.5 years,Business Management,City Flinders VIC
MASTER OF BUSINESS ADMINISTRATION,Postgraduate,,Master's by coursework,Victoria University,1.5 years,Business Management,City Flinders VIC
Master of Business Administration - Coursework,Postgraduate,,Master's by coursework,The University of Western Australia,1.5 years,Business Management,CRAWLEY WA
Master of Business Administration - Dubai,Postgraduate,,Master's by coursework,University of Wollongong,1.5 years,Business Management,Dubai United Arab Emirates
Master of Business Administration (Advanced),Postgraduate,,Master's by coursework,Australian Catholic University,2 years,Business Management,MELBOURNE VIC
Master of Business Administration (Advanced),Postgraduate,,Master's by coursework,Australian Catholic University,2 years,Business Management,NORTH SYDNEY NSW
Master of Business Administration (Advanced),Postgraduate,,Master's by coursework,Curtin University of Technology,2 years,Business & Management,Perth City Campus WA
Master of Business Administration (Advanced),Postgraduate,,Master's by coursework,Flinders University,2 years,Business & Management,Adelaide at City Centre SA
Master of Business Administration (Advanced),Postgraduate,,Master's by coursework,Griffith University,2 years,Business Management,Gold Coast QLD
Master of Business Administration (Advanced),Postgraduate,,Master's by coursework,Griffith University,2 years,Business Management,South Bank QLD
Master of Business Administration (Advanced) (Biotechnology),Postgraduate,,Master's by coursework,Flinders University,2 years,Business & Management,Adelaide at City Centre SA
Master of Business Administration (Advanced) (Education),Postgraduate,,Master's by coursework,Flinders University,2 years,Business & Management,Adelaide at City Centre SA
Master of Business Administration (Advanced) (Finance),Postgraduate,,Master's by coursework,Flinders University,2 years,Business & Management,Adelaide at City Centre SA
Master of Business Administration (Advanced) (Health),Postgraduate,,Master's by coursework,Flinders University,2 years,Business & Management,Adelaide at City Centre SA
Master of Business Administration (Advanced) (International Business),Postgraduate,,Master's by coursework,Flinders University,2 years,Business & Management,Adelaide at City Centre SA
Master of Business Administration (Advanced) (Tourism),Postgraduate,,Master's by coursework,Flinders University,2 years,Business & Management,Adelaide at City Centre SA
Master of Business Administration (Biotechnology),Postgraduate,,Master's by coursework,Flinders University,1.5 years,Business & Management,Adelaide at City Centre SA
Master of Business Administration (by Coursework),Postgraduate,,Master's by coursework,Federation University Australia,1.5 years,Business & Management n.e.c.,Mt Helen VIC
Master of Business Administration (by Coursework),Postgraduate,,Master's by coursework,Federation University Australia,1.5 years,Business & Management n.e.c.,Geelong VIC
